,Ukraine,Ukraine,"Buldyka village, Apostolovo,",,,,,,Early  Pliocene,~5.3 -3.6 m,entire eggshell,Struthiolithus alexejevi,,,,,Roscin 1962,,,47.662709,47.662709,33.714187,33.714187,,
,Ukraine,Ukraine,"Buldyka village, Apostolovo,",,,,,,Early  Pliocene,~5.3 -3.6 m,entire eggshell,Struthiolithus adzalycensis,,,,,Roscin 1962,,,47.662709,47.662709,33.714187,33.714187,,
,,Namibia,,,,,,,Early (-Mid?) Pliocene,1-5 MA,,Struthio daberasensis,,,,,Senut B. 2000,,oospecies,-22.95764,-22.95764,18.49041,18.49041,,
,,Namibia,,,,,,,Early (-Mid?) Pliocene,2-5 Ma,eggshell,Struthio daberasensis,,,,,Senut B. 2000,,,-22.95764,-22.95764,18.49041,18.49041,,
,,Namibia,"Sud au Luderitz, Elisabethfeld,",,,,,,Early Miocene,20 ma,,Struthio coppensi,,,,," Mourer-Chauvire et al., 1996",,oldest Struthio fossil found,-22.95764,-22.95764,18.49041,18.49041,,
,,Namibia,"Sud au Luderitz, Elisabethfeld,",,,,,,Early Miocene,20 ma,left tibiotarsus- distal end and shaft (holotype) // (paratypes) left femur- proximal end // left tarsometatarsis- distal end // right tarsometatarsis- shaft // left fibula //,Struthio coppensi,,,,,"Mourer-Chauvire et al., 1996",,,-22.95764,-22.95764,18.49041,18.49041,,
,Georgia,East Georgia,Dmanisi,,,,,,Early Pleistocene,~2.5 M - .77 M,2 femora,Struthio dmanisensis ,,,,,N. I. _urchak-Abramovich and A. K. Vekua 1990; Vekua 2013,,,41.3298054,41.3298054,44.2073125,44.2073125,,
,Georgia,East Georgia,Dmanisi,,,,,,Early Pleistocene,~2.5 - .77 Ma,,Struthio dmanisensis ,,,,,,,,41.3298054,41.3298054,44.2073125,44.2073125,,
,Mongolia,Mongolia,"Doshen, Olan Chorea, Ertemte, Tjelgol-Tabool",,,,,,Early Pliocene,~ 5.3 m,,Struthio mongolicus,,,,,"Lowe, 1931",,,46.862496,46.862496,103.846656,103.846656,,
,India,India,Uttar Pradesh: Nullas,,,,,,Early Pliocene?,~5.3 -3.6 m,eggshell fragments (British Museum),Struthio indicus,Struthio asiaticus,,,,"Bidwell, 1904 Ibis","(E Bidwell - Ibis, 1910) * paper cited by Mikhailov requested",,26.8467088,26.8467088,80.9461592,80.9461592,,
revisited,Country*,Country,Region,Site,Calendar Date (95.4%) (BC),"Cal age BP "" 1s/ka",14C age BP,Calculated Age (1950 - # for BP) (BC),Epoch,Other available age data from publications cited,What type of sample,Species Referal,Species Referal Revised,Specimen Number * check (institution),Internal Lab ID ** check,details of location/environment,Cite,This paper cited...,Comments,Coordinate_lat,LAT,Coordinate_long,Long,,Dating Method
,Kenya,Western Kenya,,,,,,,late Middle Miocene,~16 - 5.3 Ma,,Struthio sp.,,,,,Pickford 1981,,loenard 2006,,,,,,
,,Tunisia,,,,,,,late Middle Miocene,~11.6 - 5.3 m (late Miocene),,Struthio sp.,,,,,"Rich, 1972",,,,,,,,
,China,China,"Yangwapuzijifang, Gansu Province",,,,,,Late Miocene,~ 11.6 - 5.3 Ma,"incomplete pelvis, synsacrum",Struthio linxiaensis,,,,,Hou et al. 2005; Hou 1994?,,,36.059561,36.059561,103.826447,103.826447,,
,China,China,"Yangwapuzijifang, Gansu Province",,,,,,Late Miocene,~ 11.6 - 5.3 Ma,,Struthio linxiaensis,actually Orientornis?,,,, Hou et al. 2005; Hou 1994?,,,36.059561,36.059561,103.826447,103.826447,,
,Ukraine,Ukraine,"Velikaja Michajlovka County, Odessa District,",,,,,,Late Miocene,~ 11.6 - 5.3 Ma,,Palaeostruthio sternatus,,,,,Burcak-Abramovich 1953,,,47.089387,47.089387,29.858264,29.858264,,
,,"Buldyka, Ukraine; China (Kalgan, Honan)",,,,,,,Late Miocene,~ 11.6 - 5.3 Ma,,Struthio chersonensis,,,,,"Eastman, 1896; Andersson 1923; Barbour 1924; Teilhard de Chardin 1928; Clark 1918)",,,35.86166,35.86166,104.195397,104.195397,,
,Ukraine,Ukraine,"Velikaja Michajlovka County, Odesa Distric",,,,,,Late Miocene,~ 11.6 - 5.3 Ma,,Palaeostruthio sternatus,,,,,Burcak-Abramovich 1953,,,47.089387,47.089387,29.858264,29.858264,,
,,"Buldyka, Ukraine; China (Kalgan, Honan)",,,,,,,Late Miocene,~ 11.6 - 5.3 Ma,,Struthio chersonensis,,,,,"Eastman, 1896; Andersson 1923; Barbour 1924; Teilhard de Chardin 1928; Clark 1918)",,"described by Brandt, 1872",35.86166,35.86166,104.195397,104.195397,,
,Japan,Japan,terrestrial Aoso Formation,,,,,,Late Miocene,~ 11.6 - 5.3 Ma,thoracic vertebra,Struthio sp? A large bird but needs investigation,,,,,BMNH- cast-comunication from Kohno unpublished?,,,,,,,,
,Ukraine,Ukraine,"Sirjaevo County, Odesa District,",,,,,,Late Miocene,~ 11.6 - 5.3 Ma,distal tarsometatarsis epiphysis,Struthio novorossicus,,,,,"Aleksejev A. K., 1915",,,46.484583,46.484583,30.7326,30.7326,,
,Romania,Romania,Moldavia,,,,,,Late Miocene,~ 11.6 - 5.3 Ma,"R tibiotarsus, distal end",Struthio orlovi,ratite,,,,"Kurochkin & Lungu, 1970",,,47.411631,47.411631,28.369885,28.369885,,
,,Persia (Iran) Maragha,,,,,,,Late Miocene,~ 11.6 - 5.3 Ma,pedal phalanges,Struthio sp.,,,,,"LYDEKKER, Richard. On the Fossil Mammalia of Maragha, in North-western Persia. Quarterly Journal of the Geological Society, 1886, vol. 42, no 1-4, p. 173-176.",,,,,,,,
,Ukraine,Ukraine,"Sirjaevo County, Odesa District,",,,,,,Late Miocene,~ 11.6 - 5.3 Ma,,Struthio novorossicus,sister taxa,,,,"Aleksejev A. K., 1915",,described by Alekseev 1916,46.484583,46.484583,30.7326,30.7326,,
,Romania,Romania,Moldavia,,,,,,Late Miocene,~ 11.6 - 5.3 Ma,,Struthio orlovi,ratite,,,,"Kurochkin & Lungu, 1970",,2nd oldest Eurasian Struthio fossils,47.411631,47.411631,28.369885,28.369885,,
,,Africa,,,,,,,Late Miocene,5-8 MA,,Struthio karingarabensis,,,,,"Senut & Pickford, 1995",,,-8.783195,-8.783195,34.508523,34.508523,,
,,Tunisia,,,,,,,late Miocene,~11.6 - 5.3 Ma,,Struthio sp.,,,,,"Rich, 1972",,,,,,,,
,,Africa,,,,,,,Late Miocene,5-8 Ma,,Struthio karingarabensis,,,,,"Senut & Pickford, 1995",,,-8.783195,-8.783195,34.508523,34.508523,,
,Bulgaria,Bulgaria,,,,,,,Late Miocene/ Early Pliocene,~11.6 - 3.6 M,,Struthio karatheodoris,,,,,"Boev & Spassov, 2009",,,42.733883,42.733883,25.48583,25.48583,,
