Country,Region,Site,Calendar Date (95.4%) (BC),"Cal age BP "" 1s/ka",14C age BP,Calculated Age (1950 - # for BP) (BC),Epoch,Other available age data from publications cited,What type of sample,Species Referal,Species Referal Revised,Specimen Number * check (institution),Internal Lab ID ** check,details of location/environment,Cite,This paper cited...,Comments,LAT,LONG,,Dating Method
"China: Honan, Shansi provinces; Mongolia?",,,,,,,Pleistocene,"~ 2.6 m - 11,700 years ago",,Struthio anderssoni,,,,,"Lowe, 1931",,oospecies?,46.862496,103.846656,,
"China: Honan, Shansi provinces; Mongolia?",,,,,,,Pleistocene,"~2.58 M - 11,700 years ago",complete OES,Struthio anderssoni,,,,,"Lowe, 1931",,,46.862496,103.846656,,
China,"Yangwapuzijifang, Gansu Province",,,,,,Late Miocene,~ 11.6 - 5.3 Ma,"incomplete pelvis, synsacrum",Struthio linxiaensis,,,,,Hou et al. 2005; Hou 1994?,,,36.059561,103.826447,,
China,"Yangwapuzijifang, Gansu Province",,,,,,Late Miocene,~ 11.6 - 5.3 Ma,,Struthio linxiaensis,actually Orientornis?,,,, Hou et al. 2005; Hou 1994?,,,36.059561,103.826447,,
"China, Mongolia",,,,,,,Pliocene,~5.4 - 2.4 ma,,Struthio wimani,,,,,"Lowe, 1931",,,46.862496,103.846656,,
"China, Mongolia",,,,,,,Pliocene,~5.4 - 2.4 m,,Struthio wimani,,,,,"Lowe, 1931",,,46.862496,103.846656,,
Mongolia,South Gobi,Shabarkh-usu,,"9,035-9,408",,,,,,,,,73/98A,,,,,42.81807,104.1379,,
Mongolia,South Gobi,Shabarkh-usu,,"8,196-8,382",,,,,,,,,73/648A,,,,,42.81807,104.1379,,
Mongolia,South Gobi,Shabarkh-usu,,"9,296-9,519",,,,,,,,,73/790A01,,,,,42.81807,104.1379,,
Mongolia,South Gobi,Shabarkh-usu,,"9,306-9,537",,,,,,,,,73/1034A03,,,,,42.81807,104.1379,,
Mongolia,South Gobi,Barun Daban,,"9,134-9,457",,,,,,,,,73/1790A,,,,,42.81797,104.13787,,
Mongolia,South Gobi,Barun Daban,,"9,140-9,480",,,,,,,,,73/1790B,,,,,42.81797,104.13787,,
Mongolia,South Gobi,Shabarkh-usu,,"9,094-9,424",,,,,,,,,73/790A02,,,,,42.81807,104.1379,,
Mongolia,,Chikhen Agui,,,"10,060 ± 50",8110± 50,,,,"Struthio asiaticus (Brodkorb,1963)",,,""" 79775""",,"Kurochkin et al., 2010",,,44.77,99.07,,
Mongolia,,Khar-Khets,,,"37,510 ± 930",35560±930,,,Internal part of eggshell.,Struthio asiaticus,,,60742b,,"Kurochkin et al., 2010",,,"""45.17""",101.17,,
